Image Name,Score
000.png,0.6424
000 copy.png,0.6542
001 copy.png,0.5872
001.png,0.9974
002 copy.png,0.5789
002.png,0.9989
003 copy.png,0.5160
003.png,0.9985
004 copy.png,0.6373
004.png,0.9998
005 copy.png,0.5792
005.png,0.9999
006 copy.png,0.7303
006.png,0.9427
007 copy.png,0.7517
007.png,0.9996
008 copy.png,0.8676
008.png,0.9999
009 copy.png,0.6863
009.png,0.9991
010 copy.png,0.7450
010.png,0.9999
011 copy.png,0.6234
011.png,0.9992
012 copy.png,0.6954
012.png,0.9974
013 copy.png,0.5605
013.png,0.9997
014 copy.png,0.8002
014.png,0.9974
015 copy.png,0.7431
015.png,0.9997
016 copy.png,0.6393
016.png,0.9976
017 copy.png,0.6752
017.png,0.9910
018 copy.png,0.8769
018.png,0.9999
019 copy.png,0.7858
019.png,1.0000
020 copy.png,0.6059
020.png,0.9997
021 copy.png,0.5709
021.png,1.0000
022 copy.png,0.7013
022.png,1.0000
023 copy.png,0.6518
023.png,0.9999
024 copy.png,0.6333
024.png,1.0000
025 copy.png,0.6218
025.png,0.5350
026 copy.png,0.5626
026.png,0.9991
027 copy.png,0.5936
027.png,0.9998
028 copy.png,0.6773
028.png,0.5948
029 copy.png,0.6638
029.png,0.9660
